CumulativeD2,LocalD2,Label2,CumulativeD3,LocalD3,LocalChange3,Label3,CumulativeD4,LocalD4,LocalChange4,Label4,CumulativeD5,LocalD5,LocalChange5,Label5
0.666666667,0.777777778,major,0.62962963,0.555555556,0.222222222,minor,0.583333333,0.555555556,0.444444444,major,0.6,0.444444444,0.333333333,minor
0.722222222,0.777777778,minor,0.740740741,0.666666667,0.333333333,minor,0.694444444,0.777777778,0.333333333,major,0.711111111,0.555555556,0.444444444,minor
0.722222222,0.888888889,major,0.703703704,0.555555556,0.333333333,minor,0.638888889,0.666666667,0.333333333,major,0.622222222,0.444444444,0.444444444,minor
0.722222222,0.888888889,major,0.666666667,0.555555556,0.333333333,minor,0.583333333,0.555555556,0.444444444,major,0.577777778,0.333333333,0.444444444,minor
0.722222222,0.888888889,minor,0.740740741,0.555555556,0.555555556,minor,0.666666667,0.777777778,0.222222222,major,0.666666667,0.444444444,0.555555556,minor
0.666666667,0.777777778,major,0.666666667,0.555555556,0.444444444,minor,0.611111111,0.666666667,0.333333333,major,0.6,0.444444444,0.444444444,minor
0.666666667,0.777777778,minor,0.666666667,0.555555556,0.222222222,minor,0.611111111,0.666666667,0.333333333,major,0.644444444,0.444444444,0.444444444,minor
0.722222222,0.888888889,minor,0.703703704,0.555555556,0.555555556,minor,0.638888889,0.666666667,0.333333333,major,0.644444444,0.444444444,0.444444444,minor
0.777777778,0.888888889,minor,0.777777778,0.666666667,0.444444444,minor,0.666666667,0.777777778,0.333333333,major,0.711111111,0.333333333,0.666666667,minor
0.666666667,0.777777778,minor,0.666666667,0.555555556,0.222222222,minor,0.638888889,0.666666667,0.111111111,minor,0.644444444,0.555555556,0.111111111,minor
0.8,0.9,minor,0.766666667,0.7,0.2,minor,0.7,0.7,0.2,major,0.72,0.5,0.4,minor
0.8,0.9,minor,0.8,0.7,0.4,minor,0.7,0.8,0.3,major,0.74,0.4,0.6,minor
0.7,0.9,minor,0.7,0.5,0.6,minor,0.6,0.7,0.4,major,0.62,0.3,0.6,minor
0.6,0.7,major,0.633333333,0.5,0.4,minor,0.6,0.7,0.4,major,0.62,0.5,0.4,minor
0.7,0.8,minor,0.7,0.6,0.4,minor,0.625,0.7,0.3,major,0.64,0.4,0.5,minor
0.7,0.8,minor,0.7,0.6,0.4,minor,0.625,0.7,0.3,major,0.64,0.4,0.5,minor
0.8,0.8,minor,0.8,0.8,0.2,minor,0.725,0.8,0.2,minor,0.76,0.5,0.3,minor
0.75,0.9,minor,0.766666667,0.6,0.3,minor,0.7,0.8,0.4,minor,0.74,0.5,0.3,minor
0.75,0.8,minor,0.766666667,0.7,0.3,minor,0.7,0.8,0.3,major,0.74,0.5,0.5,minor
0.75,0.9,minor,0.733333333,0.6,0.3,minor,0.675,0.7,0.3,major,0.7,0.5,0.4,minor
0.65,0.8,minor,0.666666667,0.5,0.5,minor,0.55,0.7,0.4,major,0.58,0.2,0.7,minor
0.7,0.9,minor,0.7,0.5,0.4,minor,0.65,0.7,0.4,major,0.66,0.5,0.4,minor
0.6,0.7,minor,0.633333333,0.5,0.4,minor,0.575,0.7,0.2,major,0.6,0.4,0.5,minor
0.75,0.9,minor,0.766666667,0.6,0.3,minor,0.7,0.8,0.4,minor,0.72,0.5,0.3,minor
0.65,0.8,minor,0.633333333,0.5,0.5,minor,0.525,0.6,0.3,major,0.54,0.2,0.6,minor
0.681818182,0.818181818,major,0.696969697,0.545454546,0.272727273,minor,0.636363636,0.727272727,0.545454546,major,0.654545455,0.454545455,0.454545455,minor
0.636363636,0.727272727,minor,0.636363636,0.545454546,0.363636364,minor,0.568181818,0.636363636,0.272727273,major,0.6,0.363636364,0.454545455,minor
0.636363636,0.727272727,major,0.696969697,0.545454546,0.363636364,minor,0.636363636,0.818181818,0.454545455,major,0.654545455,0.454545455,0.545454546,minor
0.681818182,0.818181818,minor,0.696969697,0.545454546,0.454545455,minor,0.613636364,0.727272727,0.181818182,major,0.636363636,0.363636364,0.545454546,minor
0.636363636,0.727272727,major,0.636363636,0.545454546,0.363636364,minor,0.568181818,0.636363636,0.454545455,major,0.6,0.363636364,0.454545455,minor
0.681818182,0.818181818,major,0.696969697,0.545454546,0.272727273,minor,0.613636364,0.727272727,0.545454546,major,0.636363636,0.363636364,0.545454546,minor
0.727272727,0.909090909,minor,0.727272727,0.545454546,0.363636364,minor,0.659090909,0.727272727,0.181818182,major,0.654545455,0.454545455,0.454545455,minor
0.681818182,0.818181818,minor,0.696969697,0.545454546,0.454545455,minor,0.590909091,0.727272727,0.363636364,major,0.618181818,0.272727273,0.636363636,minor
0.636363636,0.727272727,major,0.666666667,0.545454546,0.363636364,minor,0.590909091,0.727272727,0.545454546,major,0.618181818,0.363636364,0.545454546,minor
0.818181818,0.909090909,minor,0.787878788,0.727272727,0.363636364,minor,0.704545455,0.727272727,0.181818182,major,0.727272727,0.454545455,0.454545455,minor
0.625,0.75,major,0.638888889,0.5,0.416666667,minor,0.5625,0.666666667,0.5,major,0.583333333,0.333333333,0.5,minor
0.666666667,0.833333333,major,0.666666667,0.5,0.333333333,minor,0.583333333,0.666666667,0.5,major,0.6,0.333333333,0.5,minor
0.75,0.916666667,minor,0.75,0.583333333,0.5,minor,0.645833333,0.75,0.333333333,major,0.666666667,0.333333333,0.583333333,minor
0.666666667,0.75,minor,0.694444444,0.583333333,0.333333333,minor,0.625,0.75,0.333333333,major,0.666666667,0.416666667,0.5,minor
0.708333333,0.833333333,minor,0.75,0.583333333,0.416666667,minor,0.6875,0.833333333,0.25,major,0.7,0.5,0.5,minor
0.625,0.75,major,0.638888889,0.5,0.416666667,minor,0.5625,0.666666667,0.5,major,0.583333333,0.333333333,0.5,minor
0.708333333,0.833333333,minor,0.722222222,0.583333333,0.25,minor,0.666666667,0.75,0.333333333,major,0.683333333,0.5,0.416666667,minor
0.692307692,0.769230769,minor,0.717948718,0.615384615,0.307692308,minor,0.653846154,0.769230769,0.307692308,major,0.692307692,0.461538462,0.461538462,minor
0.653846154,0.769230769,major,0.666666667,0.538461539,0.384615385,minor,0.576923077,0.692307692,0.461538462,major,0.6,0.307692308,0.538461539,minor
0.769230769,0.923076923,minor,0.769230769,0.615384615,0.461538462,minor,0.673076923,0.769230769,0.307692308,major,0.692307692,0.384615385,0.538461539,minor
0.692307692,0.846153846,major,0.692307692,0.538461539,0.307692308,minor,0.615384615,0.692307692,0.461538462,major,0.630769231,0.384615385,0.461538462,minor
0.730769231,0.846153846,minor,0.717948718,0.615384615,0.384615385,minor,0.634615385,0.692307692,0.230769231,major,0.646153846,0.384615385,0.461538462,minor
0.653846154,0.769230769,major,0.666666667,0.538461539,0.384615385,minor,0.576923077,0.692307692,0.461538462,major,0.6,0.307692308,0.538461539,minor
0.678571429,0.785714286,minor,0.714285714,0.571428571,0.357142857,minor,0.642857143,0.785714286,0.357142857,major,0.671428571,0.428571429,0.5,minor
0.678571429,0.857142857,minor,0.690476191,0.5,0.357142857,minor,0.625,0.714285714,0.357142857,major,0.642857143,0.428571429,0.428571429,minor
0.666666667,0.8,minor,0.688888889,0.533333333,0.4,minor,0.616666667,0.733333333,0.333333333,major,0.64,0.4,0.466666667,minor
